Dish Name,Cuisine,Cooking Time(min),Ingredients,Recipe Steps,Tips
Mangalorean Fish Curry,India,30,"Fish, Coconut, Spices",1. Make coconut paste. 2. Cook fish.,Use Byadgi chilli.
Hyderabadi Biryani,India,60,"Rice, Meat, Spices, Saffron",1. Marinate meat. 2. Layer rice. 3. Dum.,Seal lid with dough.
Haleem,India,180,"Wheat, Meat, Lentils, Spices",1. Slow cook everything. 2. Blend. 3. Garnish.,Long cooking enhances flavor.
Gongura Chicken,India,35,"Chicken, Sorrel leaves, Spices",1. Fry leaves. 2. Cook chicken.,Use fresh gongura.
Pesarattu,India,20,"Green gram, Ginger, Chillies",1. Grind dal. 2. Cook like dosa.,Serve with upma.
Kodi Kura,India,40,"Chicken, Spices, Onions",1. Fry onions. 2. Cook chicken.,Use gingelly oil.
Mirchi Bajji,India,10,"Green chillies, Besan",1. Dip chillies in batter. 2. Fry.,Slit chillies & add stuffing.
Ulavacharu,India,60,"Horse gram, Spices",1. Cook lentils. 2. Extract stock. 3. Boil.,Serve with rice.
Royyala Iguru,India,25,"Prawns, Spices, Onions",1. Cook prawns with masala.,Don't overcook.
Andhra Meals,India,60,"Rice, Sambar, Rasam, Curries",1. Prepare multiple dishes.,Serve on banana leaf.
Pulihora,India,15,"Rice, Tamarind paste, Spices",1. Temper spices. 2. Mix with rice.,Use sesame seeds.
Shorshe Ilish,India,30,"Hilsa, Mustard paste, Spices",1. Make mustard paste. 2. Steam fish.,Use yellow+black mustard mix.
Kosha Mangsho,India,60,"Mutton, Spices, Curd",1. Slow cook mutton.,Do not add water.
Aloo Posto,India,20,"Potatoes, Poppy seeds",1. Make posto paste. 2. Cook potatoes.,Use mustard oil.
Cholar Dal,India,25,"Chana dal, Coconut, Spices",1. Boil dal. 2. Add spices.,Add sugar for sweetness.
Mishti Doi,India,360,"Milk, Jaggery, Curd",1. Caramelize milk. 2. Set with curd.,Use earthen pots.
Rasgulla,India,60,"Chhena, Sugar syrup",1. Knead chhena. 2. Boil in syrup.,Knead until smooth.
Sandesh,India,45,"Chhena, Sugar, Flavoring",1. Cook chhena lightly. 2. Shape.,Don't overcook.
Doi Maach,India,30,"Fish, Curd, Spices",1. Marinate fish. 2. Cook in curd gravy.,Keep flame low.
Luchi,India,15,"Maida, Oil",1. Knead dough. 2. Fry.,Rest dough for softness.
Pithe,India,30,"Rice flour, Jaggery, Coconut",1. Make dough. 2. Fry/steam.,Use fresh coconut.
Bhetki Paturi,India,25,"Fish, Mustard paste, Banana leaf",1. Wrap fish. 2. Steam.,Use tender banana leaves.
Dalma,India,30,"Dal, Vegetables, Spices",1. Cook dal & veggies. 2. Add spices.,Use ghee.
Pakhala,India,720,"Cooked rice, Water, Curd",1. Ferment rice. 2. Serve chilled.,Add fried veggies.
Chhena Poda,India,60,"Chhena, Sugar, Semolina",1. Mix chhena. 2. Bake.,Caramelize top well.
Besara,India,25,"Vegetables, Mustard paste",1. Cook veggies with mustard.,Use fresh mustard.
Macha Ghanta,India,40,"Fish head, Vegetables",1. Fry fish head. 2. Cook with veggies.,Use mustard oil.
Dahi Baingan,India,20,"Brinjal, Curd, Spices",1. Fry brinjal. 2. Add curd.,Use fresh curd.
Gupchup,India,15,"Puris, Tamarind water, Spices",1. Fill puris. 2. Serve.,Serve immediately.
Manda Pitha,India,30,"Rice flour, Coconut, Jaggery",1. Prepare dough. 2. Steam.,Do not over-steam.
Masor Tenga,India,25,"Fish, Tomatoes/Lemon, Spices",1. Fry fish lightly. 2. Make tangy gravy.,Use kokum for variation.
Khar,India,40,"Raw papaya, Pulses, Alkaline khar",1. Prepare khar. 2. Slow cook.,Use filtered khar water.
Duck Curry,India,60,"Duck meat, Spices, Black sesame",1. Fry meat. 2. Add roasted spices.,Cook slowly for tenderness.
Bamboo Shoot Pickle,India,20,"Bamboo shoot, Mustard oil, Spices",1. Boil bamboo. 2. Mix spices.,Ferment for deeper flavor.
Aloo Pitika,India,10,"Boiled potatoes, Mustard oil",1. Mash potatoes. 2. Mix spices.,Use smoked chillies.
Xaak Bhaji,India,10,"Leafy greens, Garlic, Oil",1. Stir fry greens.,Do not overcook.
Narikol Pitha,India,30,"Coconut, Jaggery, Rice flour",1. Stuff dough. 2. Fry.,Use fresh coconut.
Litti Chokha,India,40,"Wheat flour, Sattu, Spices",1. Make litti. 2. Roast. 3. Prepare chokha.,Roast over charcoal for best taste.
Thekua,India,25,"Wheat flour, Jaggery",1. Knead dough. 2. Fry.,Store in airtight jar.
Rugra,India,20,"Wild mushrooms, Spices",1. Clean mushrooms. 2. Stir fry.,Cook on medium heat.
Handia,India,1440,"Rice, Herbal starter",1. Ferment rice.,Store in cool place.
Bihari Kabab,India,50,"Beef/Mutton, Spices",1. Marinate. 2. Skewer & grill.,Add papaya for tenderness.
Kadhi Bari,India,30,"Gram flour, Curd, Spices",1. Fry bari. 2. Cook in kadhi.,Whisk curd well.
Pittha,India,30,"Rice flour, Coconut/Jaggery",1. Fill dumplings. 2. Steam.,Use wet hands to shape.
Dhokla,India,2,"Gram flour, Eno, Spices",1. Make batter. 2. Steam.,Add tadka after cooling.
Khandvi,India,25,"Gram flour, Curd",1. Cook batter. 2. Roll.,Spread thin for soft layers.
Undhiyu,India,45,"Mixed vegetables, Methi muthia",1. Slow cook veggies.,Use winter veggies.
Thepla,India,20,"Wheat flour, Fenugreek",1. Prepare dough. 2. Cook.,Use yogurt for softness.
Fafda,India,15,"Gram flour, Spices",1. Make dough. 2. Fry.,Serve with jalebi.
Jalebi,India,30,"Flour, Sugar syrup",1. Fry spirals. 2. Dip in syrup.,Ferment batter overnight.
Handvo,India,40,"Rice-lentil batter, Vegetables",1. Mix batter. 2. Bake.,Add sesame seeds.
Dal Dhokli,India,40,"Dal, Wheat dough pieces",1. Cook dal. 2. Add dough.,Simmer well.
Locho,India,20,"Gram flour, Spices",1. Steam batter. 2. Add toppings.,Serve hot.
Sev Tamatar,India,20,"Tomatoes, Sev, Spices",1. Cook tomato gravy. 2. Add sev.,Add sev at last.
Vada Pav,India,20,"Potato filling, Pav, Besan",1. Fry vada. 2. Assemble.,Add dry garlic chutney.
Misal Pav,India,30,"Sprouts, Spicy gravy, Pav",1. Cook misal. 2. Serve with pav.,Adjust spice level.
Pav Bhaji,India,25,"Vegetables, Butter, Pav",1. Cook mashed veggies. 2. Toast pav.,Use Kashmiri chilli powder.
Puran Poli,India,45,"Wheat flour, Chana dal, Jaggery",1. Cook dal. 2. Stuff dough.,Serve with ghee.
Sabudana Khichdi,India,20,"Sabudana, Peanuts, Spices",1. Soak sabudana. 2. Cook.,Do not over-soak.
Thalipeeth,India,25,"Mixed flours, Onions, Spices",1. Make dough. 2. Cook.,Use ghee for aroma.
Bharli Vangi,India,35,"Brinjal, Coconut masala",1. Stuff brinjals. 2. Cook.,Use small tender brinjals.
Modak,India,30,"Rice flour, Coconut, Jaggery",1. Make dough. 2. Steam modaks.,Grease hands to shape easily.
Kolhapuri Chicken,India,45,"Chicken, Spicy masala",1. Fry masala. 2. Cook chicken.,Use lavangi mirchi.
Poha,India,10,"Flattened rice, Onion, Lemon",1. Rinse poha. 2. Cook with spices.,Do not soak poha.
Goan Fish Curry,India,25,"Fish, Coconut, Tamarind",1. Make coconut paste. 2. Cook fish.,Use kokum for tanginess.
Vindaloo,India,40,"Pork, Vinegar, Spices",1. Marinate. 2. Slow cook.,Use Goan vinegar.
Xacuti,India,45,"Chicken/Mutton, Coconut, Spices",1. Roast spices. 2. Cook meat.,Roast coconut well.
Bebinca,India,120,"Coconut milk, Flour, Sugar",1. Layer batter and bake repeatedly.,Patience is key.
Prawn Balchao,India,35,"Prawns, Vinegar, Spices",1. Fry prawns. 2. Cook in vinegar masala.,Store for longer shelf life.
Sorpotel,India,120,"Pork, Vinegar, Spices",1. Slow cook. 2. Rest overnight.,Tastes better next day.
Goan Sausages,India,60,"Pork, Vinegar, Spices",1. Season meat. 2. Stuff and dry.,Dry in sun for days.
Pani Puri,India,15,"Puris, Spiced water, Potato",1. Fill puris. 2. Add water.,Chill water for best taste.
Sev Puri,India,10,"Puris, Sev, Potatoes, Chutneys",1. Layer puris. 2. Add chutneys.,Add sev at the end.
Dahi Puri,India,10,"Curd, Potatoes, Sev, Puris",1. Fill puris. 2. Add curd.,Use thick curd.
Ragda Pattice,India,30,"White peas, Potatoes, Chutneys",1. Make patties. 2. Add ragda.,Garnish with onions.
Kathi Roll,India,20,"Paratha, Chicken/Egg, Spices",1. Cook filling. 2. Roll.,Use rumali roti for softness.
Momo,India,20,"Dough, Veg/Chicken filling",1. Fill dumplings. 2. Steam.,Serve with spicy chutney.
Samosa,India,30,"Flour, Potato filling",1. Make dough. 2. Fry.,Fry on low heat.
Kachori,India,25,"Flour, Dal/Onion filling",1. Stuff dough. 2. Fry.,Rest dough before frying.
Chole Kulche,India,20,"Chole, Kulcha, Spices",1. Cook chole. 2. Serve with kulcha.,Butter the kulcha.
Bhel Puri,India,10,"Puffed rice, Chutneys, Sev",1. Mix all ingredients.,Add chutneys last.
Egg Roll,India,15,"Paratha, Egg, Veggies",1. Cook paratha. 2. Add egg.,Add lemon juice.
Dabeli,India,20,"Pav, Potato filling, Chutneys",1. Prepare filling. 2. Assemble.,Roast pav well.
Frankie,India,20,"Roti, Chicken/Veg filling",1. Prepare filling. 2. Wrap.,Add cheese for richness.
Bread Pakora,India,15,"Bread, Besan, Potato filling",1. Fill bread. 2. Fry.,Serve hot.
Chana Jor Garam,India,5,"Flattened chana, Onions, Lemon",1. Mix all ingredients.,Add chat masala.
Lassi,India,5,"Curd, Sugar/Salt",1. Blend curd.,Serve chilled.
Masala Chai,India,10,"Tea, Milk, Ginger, Spices",1. Boil tea. 2. Add spices.,Add jaggery for variation.
Falooda,India,15,"Milk, Falooda sev, Basil seeds",1. Layer ingredients.,Use kulfi for richness.
Tandoori Momos,India,20,"Momos, Tandoori marinade",1. Coat momos. 2. Grill.,Brush with butter.
Bhutta (Corn),India,10,"Corn, Lemon, Spices",1. Roast corn. 2. Add spices.,Char until smoky.
Gulab Jamun,India,30,"Khoya, Sugar syrup",1. Fry balls. 2. Dip in syrup.,Do not fry on high flame.
Rasmalai,India,45,"Chhena, Milk syrup",1. Make rasgulla. 2. Prepare milk rabri.,Use saffron milk.
Jalebi,India,30,"Flour, Sugar syrup",1. Fry spirals. 2. Dip in syrup.,Ferment batter.
Malpua,India,30,"Flour, Milk, Sugar",1. Fry batter. 2. Add syrup.,Serve with rabri.
Mysore Pak,India,25,"Besan, Ghee, Sugar",1. Cook syrup. 2. Add besan.,Use high-quality ghee.
Kheer,India,30,"Rice, Milk, Sugar",1. Slow cook rice in milk.,Slow cooking enhances taste.
Payasam,India,30,"Rice/Vermicelli, Milk, Jaggery",1. Cook payasam.,Add ghee-roasted nuts.
Halwa (Gajar/Suji),India,25,"Carrot/Suji, Milk, Ghee",1. saute base. 2. Add milk.,Use fresh carrots.
Kulfi,India,360,"Milk, Dry fruits, Sugar",1. Reduce milk. 2. Freeze.,Use malai.
Phirni,India,40,"Rice paste, Milk, Sugar",1. Cook milk. 2. Add rice paste.,Serve chilled.
Basundi,India,60,"Milk, Sugar, Cardamom",1. Reduce milk.,Keep stirring.
Shahi Tukda,India,30,"Bread, Rabri, Sugar syrup",1. Fry bread. 2. Add syrup & rabri.,Fry bread in ghee.
Ghevar,India,60,"Flour, Sugar, Ghee",1. Deep fry honeycomb. 2. Add syrup.,Best during monsoons.
Chenna Poda,India,60,"Chhena, Sugar, Semolina",1. Bake caramelized mixture.,Caramelize top well.
Laddu (Besan/Motichoor),India,30,"Flour, Sugar, Ghee",1. Make boondi. 2. Form laddus.,Use warm syrup.
Barfi (Coconut/Kesar),India,35,"Milk solids, Sugar",1. Cook mixture. 2. Set & cut.,Grease tray before pouring.
Cham Cham,India,45,"Chhena, Syrup",1. Cook chhena in syrup.,Flavor with rose.
Kulfi Falooda,India,20,"Kulfi, Falooda sev, Syrup",1. Assemble layers.,Serve chilled.
Bal Mithai,India,60,"Khoya, Sugar, Sugar balls",1. Reduce khoya. 2. Coat with sugar balls.,Cool completely before cutting.
Bebinca,India,120,"Coconut milk, Sugar, Flour",1. Layer batter. 2. Bake repeatedly.,Patience creates perfect layers.
Peda (Mathura),India,60,"Milk, Sugar, Ghee",1. Reduce milk. 2. Shape pedas.,Use low flame for caramelization.
Mawa Jalebi,India,45,"Khoya, Maida, Sugar syrup",1. Make batter. 2. Fry spirals. 3. Dip.,Serve hot.
Rabri,India,60,"Milk, Sugar, Nuts",1. Reduce milk slowly.,Stir continuously.
Modak,India,30,"Rice flour, Coconut, Jaggery",1. Shape dumplings. 2. Steam.,Grease hands before shaping.
Puran Poli,India,45,"Wheat flour, Chana dal, Jaggery",1. Make stuffing. 2. Roll and cook.,Serve with ghee.
Soan Papdi,India,60,"Sugar, Besan, Ghee",1. Spin sugar. 2. Mix with besan.,Work quickly to get flaky texture.
Naan,India,20,"Maida, Yeast, Milk",1. Knead dough. 2. Tandoor bake.,Brush with butter.
Roti (Chapati),India,10,"Wheat flour, Water",1. Knead dough. 2. Make rotis.,Rest dough for softness.
Paratha,India,15,"Wheat flour, Ghee",1. Roll dough. 2. Cook.,Add ghee for flakiness.
Laccha Paratha,India,20,"Flour, Ghee",1. Create layers. 2. Cook.,Rest dough to soften gluten.
Bhatura,India,20,"Flour, Curd, Baking soda",1. Knead dough. 2. Fry.,Ferment dough 2 hours.
Kulcha,India,20,"Maida, Yeast, Curd",1. Roll dough. 2. Bake.,Top with coriander.
Missi Roti,India,15,"Gram flour, Wheat flour",1. Knead dough. 2. Cook.,Use ghee for aroma.
Poori,India,15,"Wheat flour, Oil",1. Fry rolled dough.,Do not over-knead.
Thepla,India,20,"Flour, Fenugreek",1. Knead with spices. 2. Cook.,Use yogurt.
Neer Dosa,India,10,Rice batter,1. Pour thin batter. 2. Cook.,Use non-stick pan.
Appam,India,10,"Rice batter, Coconut milk",1. Pour batter. 2. Rotate pan.,Ferment overnight.
Puttu,India,10,"Rice flour, Coconut",1. Layer in mould. 2. Steam.,Serve with banana.
Rumali Roti,India,15,"Flour, Oil",1. Stretch dough thin. 2. Cook over high flame.,Needs very soft dough.
Tandoori Roti,India,12,"Wheat flour, Water",1. Roll dough. 2. Stick to tandoor.,Wet edges before tandoor.
Makki Roti,India,20,"Corn flour, Water",1. Shape carefully. 2. Cook.,Use plastic sheet for rolling.
Bajra Roti,India,15,"Millet flour, Water",1. Pat dough by hand. 2. Cook.,Serve with ghee.
Pathiri,India,15,"Rice flour, Hot water",1. Knead. 2. Roll thin. 3. Cook.,Keep dough hot.
Sheermal,India,30,"Flour, Milk, Saffron",1. Knead sweet dough. 2. Bake.,Brush with saffron milk.
Khameeri Roti,India,60,"Flour, Yeast, Milk",1. Ferment dough. 2. Bake.,Needs warm environment.
Parotta,India,30,"Maida, Oil",1. Layer dough. 2. Cook.,Rest dough for 2 hours.
Thalipeeth,India,25,"Multigrain flour, Onions",1. Knead dough. 2. Cook.,Add ghee while serving.
Akki Roti,India,20,"Rice flour, Vegetables",1. Mix dough. 2. Cook.,Wet hands to shape.
Jolada Roti,India,15,"Jowar flour, Hot water",1. Pat dough. 2. Cook.,Serve with spicy curries.
Aloo Paratha,India,20,"Wheat flour, Potato filling",1. Roll stuffed dough. 2. Cook.,Use ghee.
Hyderabadi Biryani,India,60,"Rice, Chicken/Mutton, Spices",1. Marinate. 2. Layer. 3. Dum.,Use good-quality basmati.
Lucknowi Biryani,India,60,"Rice, Mutton, Spices",1. Cook meat & rice separately. 2. Dum.,Use saffron.
Kolkata Biryani,India,60,"Rice, Potato, Meat, Spices",1. Cook meat. 2. Add potatoes. 3. Dum.,Potatoes are key.
Malabar Biryani,India,45,"Kaima rice, Chicken",1. Make masala. 2. Layer.,Use Jeerakasala rice.
Tahri,India,25,"Rice, Vegetables, Spices",1. Saute veggies. 2. Add rice.,Use mustard oil.
Chicken 65,India,25,"Chicken, Curd, Spices",1. Marinate. 2. Fry.,Add curry leaves.
Mysore Masala Dosa,India,35,"Dosa batter, Potato filling",1. Spread batter. 2. Add masala.,Use cast iron tawa.
Gongura Chicken,India,45,"Gongura leaves, Chicken, Spices",1. Cook leaves. 2. Add chicken.,Use red gongura.
Gutti Vankaya,India,45,"Brinjal, Masala",1. Stuff brinjals. 2. Cook.,Use small brinjals.
Kozhi Varuval,India,40,"Chicken, Spices",1. Marinate. 2. Roast.,Use shallots.
Chicken Chettinad,India,45,"Chicken, Chettinad spices",1. Roast spices. 2. Cook chicken.,Dry roast whole spices.
Bagara Baingan,India,40,"Brinjal, Peanuts, Sesame",1. Prepare masala. 2. Cook.,Use tender brinjals.
Andhra Fish Pulusu,India,30,"Fish, Tamarind, Spices",1. Make tamarind gravy. 2. Cook fish.,Use country fish.
Mutton Rogan Josh,India,60,"Mutton, Kashmiri spices",1. Browning. 2. Slow cook.,Use Kashmiri chilli.
Nadru Yakhni,India,50,"Lotus stem, Yogurt",1. Cook stem. 2. Add yogurt gravy.,Simmer on low flame.
Gushtaba,India,120,"Minced mutton, Yogurt gravy",1. Prepare meatballs. 2. Cook slowly.,Must be creamy.
Rista,India,60,"Mutton balls, Red gravy",1. Pound meat. 2. Cook in red gravy.,Use wooden pestle.
Chaman,India,30,"Paneer, Spices",1. Fry paneer. 2. Cook.,Use turmeric generously.
Khatta Meat,India,60,"Mutton, Anardana",1. Cook meat. 2. Add souring agent.,Serve with rice.
Dogri Roti,India,20,"Flour, Spices",1. Knead. 2. Cook.,Serve with ghee.
Siddu,India,60,"Wheat dough, Walnut filling",1. Steam dough. 2. Cook.,Serve with ghee.
Babru,India,30,"Flour, Black gram",1. Stuff dough. 2. Fry.,Serve hot.
Madra,India,45,"Rajma/Chana, Yogurt",1. Cook yogurt gravy. 2. Add legumes.,Stir continuously.
Sidu Pulao,India,40,"Rice, Nuts, Spices",1. Cook rice with spices.,Use ghee.
Aloo Ke Gutke,India,15,"Potatoes, Spices",1. Fry potatoes.,Use mustard oil.
Kachmauli,India,60,"Goat meat, Spices",1. Stuff spices. 2. Roast.,Smoke for aroma.
